Customer_ID,Age,Gender,City,Customer_Segment,Signup_Date
CUS106580,47,Female,Hyderabad,High Value,2023-01-25
CUS100994,51,Female,Ahmedabad,New,2024-08-04
CUS105201,32,Male,Hyderabad,Loyal,2024-12-23
CUS103290,44,Other,Hyderabad,Returning,2023-10-04
CUS103908,62,Male,Ahmedabad,Loyal,2023-12-03
CUS101127,58,Female,Chennai,Returning,2023-07-16
CUS105629,41,Male,Mumbai,New,2024-10-24
CUS107337,39,Male,Chennai,Loyal,2025-05-26
CUS103260,20,Male,Pune,Returning,2024-08-03
CUS101850,26,Male,Pune,New,2023-07-26
CUS107470,60,Female,Bengaluru,High Value,2023-06-16
CUS100065,41,Male,Chennai,New,2025-05-05
CUS106587,40,Male,Hyderabad,Returning,2024-10-04
CUS104595,30,Female,Delhi,Returning,2025-02-24
CUS104379,60,Female,Bengaluru,Returning,2023-09-07
CUS102995,19,Other,Delhi,Loyal,2023-10-20
CUS106907,33,Male,Hyderabad,Returning,2025-04-19
CUS107634,42,Female,Pune,New,2023-08-11
CUS105531,20,Female,Chennai,New,2024-07-23
CUS107222,41,Male,Hyderabad,Returning,2024-09-23
CUS106080,20,Female,Kolkata,Returning,2023-03-16
CUS100315,46,Female,Ahmedabad,New,2025-05-14
CUS104773,50,Female,Bengaluru,New,2024-06-11
CUS102069,23,Male,Hyderabad,High Value,2023-12-11
CUS106780,49,Male,Pune,Returning,2025-05-11
CUS103263,30,Female,Delhi,Returning,2024-08-14
CUS105382,29,Female,Chennai,Loyal,2024-03-30
CUS101313,28,Male,Ahmedabad,New,2023-10-28
CUS100023,25,Female,Bengaluru,Returning,2023-03-08
CUS103027,58,Female,Ahmedabad,New,2023-03-14
CUS105669,42,Male,Chennai,Loyal,2025-06-05
CUS106047,26,Other,Kolkata,Returning,2024-05-19
CUS100710,46,Male,Ahmedabad,Returning,2024-03-13
CUS105827,19,Male,Mumbai,New,2023-06-05
CUS101595,46,Male,Ahmedabad,New,2025-04-01
CUS104691,28,Female,Chennai,New,2025-02-21
CUS106980,36,Male,Pune,Returning,2023-10-10
CUS102215,56,Male,Ahmedabad,Returning,2023-11-22
CUS100730,29,Female,Mumbai,New,2024-11-17
CUS105071,61,Female,Chennai,New,2023-07-02
CUS103784,60,Female,Bengaluru,High Value,2023-08-31
CUS102755,52,Other,Hyderabad,New,2023-08-25
CUS100997,39,Female,Mumbai,New,2023-07-07
CUS101027,24,Male,Bengaluru,Returning,2023-01-08
CUS107211,30,Male,Pune,New,2024-11-16
CUS106651,33,Male,Mumbai,New,2023-09-10
CUS101880,62,Male,Bengaluru,High Value,2023-04-27
CUS100682,18,Male,Bengaluru,New,2023-04-26
CUS105974,62,Female,Mumbai,Returning,2024-03-27
CUS103443,65,Other,Hyderabad,Returning,2024-08-08
CUS107538,18,Male,Pune,Returning,2023-10-15
CUS100319,32,Male,Hyderabad,Loyal,2024-10-14
CUS102118,64,Female,Hyderabad,New,2024-11-09
CUS107813,36,Female,Bengaluru,Returning,2023-01-19
CUS104454,22,Male,Kolkata,New,2024-11-01
CUS106087,52,Male,Mumbai,Returning,2023-04-30
CUS106081,54,Male,Mumbai,New,2025-06-12
CUS102910,54,Male,Chennai,Loyal,2023-01-11
CUS104035,30,Female,Ahmedabad,New,2024-12-05
CUS106204,23,Female,Bengaluru,High Value,2025-02-10
CUS104932,49,Male,Kolkata,High Value,2024-10-22
CUS101046,32,Female,Hyderabad,Loyal,2023-07-18
CUS102420,20,Male,Kolkata,New,2024-06-27
CUS103686,45,Female,Hyderabad,Loyal,2024-11-18
CUS103950,33,Male,Pune,New,2024-02-14
CUS105259,46,Male,Chennai,New,2024-03-13
CUS104507,65,Male,Ahmedabad,Returning,2023-12-08
CUS101374,57,Male,Kolkata,Returning,2024-07-14
CUS102138,65,Male,Hyderabad,Loyal,2023-07-08
CUS101670,29,Male,Chennai,New,2023-04-23
CUS102107,37,Male,Mumbai,Loyal,2024-03-25
CUS100132,40,Male,Hyderabad,New,2024-05-02
CUS104710,53,Male,Bengaluru,New,2023-04-24
CUS104781,46,Male,Delhi,Returning,2024-02-25
CUS107722,55,Male,Kolkata,Returning,2025-05-20
CUS103295,46,Male,Bengaluru,New,2023-04-16
CUS101383,46,Male,Hyderabad,Returning,2024-03-25
CUS104656,32,Female,Hyderabad,New,2024-04-29
CUS100706,27,Female,Mumbai,New,2023-03-09
CUS103527,41,Male,Delhi,Returning,2024-06-28
CUS107292,49,Female,Hyderabad,New,2024-08-26
CUS103422,65,Female,Mumbai,High Value,2024-11-08
CUS100957,19,Male,Bengaluru,Loyal,2023-07-06
CUS100696,33,Male,Kolkata,New,2024-09-03
CUS104192,29,Male,Kolkata,Loyal,2023-02-27
CUS102344,47,Female,Delhi,New,2025-03-28
CUS103400,40,Male,Delhi,High Value,2024-01-30
CUS104287,45,Female,Chennai,Loyal,2024-01-29
CUS106705,42,Male,Delhi,High Value,2024-03-28
CUS105527,65,Other,Pune,Loyal,2024-02-23
CUS106755,44,Female,Pune,Loyal,2023-02-22
CUS101315,49,Female,Ahmedabad,New,2024-12-27
CUS102753,49,Male,Mumbai,New,2024-05-14
CUS102582,64,Female,Kolkata,High Value,2024-07-08
CUS107352,21,Female,Ahmedabad,Returning,2024-07-11
CUS107752,63,Male,Bengaluru,New,2025-04-22
CUS101193,40,Female,Mumbai,New,2024-11-09
CUS105587,29,Female,Hyderabad,New,2025-04-30
CUS107852,46,Female,Pune,New,2024-09-02
CUS104376,25,Female,Ahmedabad,Loyal,2023-04-10
CUS100037,46,Male,Hyderabad,New,2025-05-29
CUS101172,29,Other,Ahmedabad,High Value,2023-01-22
CUS107307,58,Female,Ahmedabad,New,2023-10-17
CUS105185,22,Female,Ahmedabad,New,2024-10-27
CUS101740,43,Female,Kolkata,New,2024-06-10
CUS106681,52,Female,Mumbai,High Value,2025-04-10
CUS103328,30,Female,Pune,High Value,2025-04-28
CUS106642,56,Female,Delhi,New,2023-06-10
CUS102585,39,Other,Bengaluru,Loyal,2023-09-17
CUS103091,30,Female,Delhi,High Value,2023-09-23
CUS107881,40,Male,Ahmedabad,High Value,2023-10-03
CUS102357,49,Male,Hyderabad,Loyal,2023-02-01
CUS102718,18,Female,Bengaluru,High Value,2024-07-20
CUS105006,39,Female,Mumbai,High Value,2025-01-30
CUS100095,34,Male,Bengaluru,Returning,2023-02-22
CUS101087,58,Female,Chennai,Loyal,2024-12-05
CUS106408,18,Male,Hyderabad,Returning,2024-07-11
CUS105964,58,Female,Chennai,New,2024-09-10
CUS100487,46,Male,Hyderabad,New,2023-10-29
CUS106153,35,Male,Kolkata,New,2024-10-14
CUS107894,26,Female,Hyderabad,New,2023-01-22
CUS105482,40,Male,Ahmedabad,High Value,2025-06-09
CUS101677,48,Female,Ahmedabad,New,2024-03-01
CUS105643,34,Male,Bengaluru,New,2023-10-16
CUS103254,62,Female,Hyderabad,Loyal,2024-11-30
CUS104764,59,Male,Pune,Returning,2023-06-22
CUS102317,64,Male,Pune,High Value,2024-11-18
CUS101346,25,Male,Chennai,Loyal,2025-02-07
CUS104424,43,Male,Chennai,Loyal,2024-09-09
CUS100251,52,Male,Bengaluru,Returning,2023-02-10
CUS103934,49,Male,Bengaluru,Loyal,2025-04-19
CUS100334,46,Female,Bengaluru,Returning,2024-01-15
CUS103393,24,Male,Kolkata,New,2023-08-02
CUS105036,58,Male,Kolkata,Returning,2024-01-17
CUS100736,29,Female,Delhi,High Value,2024-04-10
CUS105411,44,Other,Kolkata,New,2024-09-10
CUS103532,55,Male,Ahmedabad,New,2025-03-17
CUS101084,63,Male,Kolkata,High Value,2024-03-01
CUS104868,62,Female,Ahmedabad,Returning,2023-05-12
CUS102750,61,Male,Bengaluru,New,2023-04-20
CUS102605,25,Female,Chennai,Loyal,2025-01-02
CUS106719,27,Male,Bengaluru,New,2023-05-23
CUS107472,42,Female,Pune,High Value,2025-03-01
CUS100465,46,Male,Chennai,New,2023-02-19
CUS104441,49,Female,Bengaluru,Loyal,2024-07-25
CUS100763,58,Male,Kolkata,Returning,2023-02-16
CUS103077,32,Female,Bengaluru,Returning,2024-01-16
CUS101123,34,Male,Pune,Loyal,2024-03-22
CUS101263,53,Female,Pune,Loyal,2024-01-07
CUS104950,60,Male,Kolkata,New,2025-06-11
CUS101421,22,Male,Ahmedabad,High Value,2025-05-19
CUS106245,60,Female,Kolkata,Returning,2025-06-14
CUS103470,20,Other,Kolkata,Returning,2023-05-16
CUS102110,18,Female,Ahmedabad,Returning,2025-03-10
CUS100157,23,Male,Delhi,New,2023-06-26
CUS103399,43,Female,Mumbai,New,2024-06-16
CUS102173,35,Female,Chennai,Returning,2024-01-10
CUS107953,38,Female,Hyderabad,New,2025-05-26
CUS105549,32,Female,Bengaluru,Loyal,2025-05-28
CUS103799,54,Female,Chennai,New,2023-02-18
CUS102987,38,Female,Bengaluru,Loyal,2024-07-20
CUS100789,55,Male,Kolkata,New,2025-04-05
CUS100533,51,Female,Kolkata,New,2024-06-14
CUS104967,45,Male,Chennai,Returning,2025-01-15
CUS105722,43,Male,Pune,Loyal,2024-08-20
CUS105751,29,Female,Pune,Loyal,2025-03-03
CUS103978,30,Female,Chennai,High Value,2023-11-05
CUS107070,57,Male,Kolkata,High Value,2023-05-22
CUS103761,23,Male,Kolkata,Loyal,2023-04-13
CUS104453,39,Male,Mumbai,Loyal,2024-08-22
CUS105925,18,Female,Bengaluru,Loyal,2024-02-15
CUS107845,33,Male,Pune,New,2023-01-16
CUS104830,27,Female,Mumbai,Returning,2023-06-04
CUS103184,46,Female,Pune,New,2024-07-23
CUS101897,61,Male,Hyderabad,High Value,2023-10-02
CUS107265,65,Female,Bengaluru,New,2024-09-25
CUS106199,43,Male,Bengaluru,New,2025-05-28
CUS103132,37,Female,Delhi,High Value,2023-06-20
CUS101420,51,Male,Pune,Returning,2024-06-07
CUS101277,28,Male,Pune,New,2023-10-24
CUS107897,31,Male,Hyderabad,New,2024-08-17
CUS101407,20,Female,Pune,Returning,2023-11-09
CUS102571,21,Female,Chennai,New,2023-05-02
CUS103459,59,Female,Hyderabad,New,2023-05-15
CUS103473,44,Male,Chennai,Returning,2024-07-25
CUS102456,19,Female,Ahmedabad,Returning,2023-01-14
CUS105653,51,Male,Ahmedabad,New,2025-02-01
CUS104525,20,Female,Delhi,Loyal,2023-01-04
CUS104076,62,Female,Chennai,Returning,2024-04-27
CUS106599,31,Male,Chennai,New,2023-04-26
CUS102663,39,Other,Bengaluru,Returning,2023-04-22
CUS100353,44,Male,Hyderabad,New,2025-01-07
CUS101606,29,Female,Ahmedabad,Loyal,2024-11-24
CUS104817,63,Female,Ahmedabad,Returning,2023-09-23
CUS101691,19,Female,Bengaluru,New,2024-03-21
CUS104161,60,Female,Hyderabad,High Value,2023-12-22
CUS107347,23,Male,Mumbai,New,2023-09-25
CUS106178,24,Male,Bengaluru,New,2024-08-14
CUS101569,33,Female,Chennai,Loyal,2025-01-31
CUS101721,39,Male,Pune,Loyal,2023-12-22
CUS107762,48,Female,Chennai,New,2024-04-08
CUS101005,49,Male,Mumbai,New,2024-08-10
CUS107224,33,Female,Kolkata,New,2023-04-26
CUS105780,52,Female,Pune,Loyal,2023-01-02
CUS104405,26,Female,Ahmedabad,Returning,2023-01-01
CUS105952,61,Female,Delhi,Loyal,2023-12-06
CUS100940,32,Male,Ahmedabad,Returning,2023-09-23
CUS106034,43,Female,Delhi,Loyal,2024-02-04
CUS103742,61,Male,Pune,Returning,2023-10-03
CUS102722,56,Female,Mumbai,Returning,2025-03-19
CUS100540,30,Male,Hyderabad,Loyal,2025-03-24
CUS105823,44,Female,Chennai,Loyal,2024-08-29
CUS104861,40,Female,Kolkata,Returning,2025-01-17
CUS104550,40,Female,Bengaluru,Loyal,2023-08-05
CUS102354,29,Male,Kolkata,New,2023-10-06
CUS105550,41,Female,Ahmedabad,Returning,2025-03-23
CUS103464,39,Female,Hyderabad,Returning,2025-06-03
CUS104148,22,Male,Bengaluru,Returning,2025-02-06
CUS106345,65,Male,Bengaluru,Returning,2025-02-03
CUS102778,33,Male,Delhi,Returning,2025-04-14
CUS102868,64,Female,Kolkata,Returning,2024-11-11
CUS100625,59,Female,Pune,Loyal,2023-04-05
CUS105901,46,Male,Chennai,Loyal,2024-12-28
CUS101203,55,Female,Mumbai,Loyal,2023-11-24
CUS106983,35,Male,Ahmedabad,Returning,2023-05-15
CUS104342,21,Female,Ahmedabad,Loyal,2023-04-21
CUS106682,43,Male,Kolkata,New,2023-01-12
CUS101662,42,Female,Kolkata,New,2025-05-01
CUS101261,36,Female,Kolkata,Loyal,2023-04-17
CUS101405,35,Male,Kolkata,Loyal,2023-06-28
CUS103688,23,Female,Kolkata,New,2025-02-07
CUS107607,29,Female,Mumbai,Returning,2024-11-01
CUS104275,57,Male,Chennai,High Value,2024-10-30
CUS107217,38,Male,Pune,New,2023-08-12
CUS101626,51,Female,Ahmedabad,High Value,2024-05-28
CUS105680,19,Male,Ahmedabad,New,2024-06-25
CUS105428,50,Male,Chennai,Returning,2024-11-12
CUS102020,35,Male,Kolkata,Returning,2023-11-26
CUS105562,64,Female,Delhi,High Value,2024-04-21
CUS103006,30,Female,Hyderabad,Returning,2025-06-03
CUS101954,22,Female,Hyderabad,New,2023-06-18
CUS102676,48,Female,Pune,High Value,2024-08-12
CUS102142,55,Female,Pune,New,2024-11-27
CUS106824,48,Female,Chennai,Loyal,2025-06-16
CUS102478,26,Male,Delhi,New,2025-01-04
CUS105821,51,Female,Delhi,Loyal,2024-11-10
CUS103038,27,Male,Kolkata,New,2023-11-07
CUS102337,60,Male,Kolkata,New,2023-10-06
CUS100742,32,Other,Pune,High Value,2023-12-02
CUS107704,30,Female,Mumbai,Returning,2025-05-25
CUS100483,62,Female,Chennai,Loyal,2023-08-07
CUS106889,35,Female,Delhi,New,2024-03-14
CUS105888,44,Male,Mumbai,Returning,2023-01-29
CUS101862,54,Male,Ahmedabad,New,2024-06-24
CUS103891,36,Male,Chennai,Loyal,2023-01-09
CUS107694,42,Female,Hyderabad,New,2024-05-26
CUS104920,47,Female,Pune,New,2024-05-05
CUS107663,23,Female,Chennai,New,2024-11-04
