Record_ID,Campaign_ID,Customer_ID,Date,Impressions,Clicks,Conversions,Spend,Revenue,Device,Audience_Type,CTR_Pct,Conversion_Rate_Pct,ROAS
REC1031658,CMP1067,CUS106202,2025-11-12,50390,2942,177,17019.31,118114.31,Mobile,Prospecting,5.84,6.02,6.94
REC1005045,CMP1085,CUS105951,2024-11-15,30097,497,38,4912.74,18947.9,Desktop,Lookalike,1.65,7.65,3.86
REC1023218,CMP1093,CUS101382,2024-07-15,14157,881,101,11401.13,124976.06,Mobile,Retargeting,6.22,11.46,10.96
REC1023306,CMP1098,CUS105418,2025-05-28,66083,1261,206,17885.67,35767.88,Desktop,Retargeting,1.91,16.34,2
REC1023148,CMP1038,CUS107152,2024-10-25,66949,3806,143,41377.19,105278.43,Desktop,Prospecting,5.68,3.76,2.54
REC1014787,CMP1015,CUS104400,2025-11-20,24434,2265,49,5896.41,22728.99,Mobile,Lookalike,9.27,2.16,3.85
REC1007592,CMP1006,CUS100771,2024-05-07,60653,6535,431,41565.45,273396.49,Mobile,Prospecting,10.77,6.6,6.58
REC1023375,CMP1116,CUS107541,2024-05-17,55123,2723,450,36790.09,119084.81,Mobile,Lookalike,4.94,16.53,3.24
REC1008590,CMP1042,CUS107877,2024-01-04,12325,619,93,6607.12,14356.48,Desktop,Lookalike,5.02,15.02,2.17
REC1030125,CMP1020,CUS101794,2025-08-23,75244,4743,58,29807.31,56048.85,Desktop,Prospecting,6.3,1.22,1.88
REC1030241,CMP1025,CUS105076,2024-11-14,37409,1722,322,20143.21,154454.21,Desktop,Prospecting,4.6,18.7,7.67
REC1005354,CMP1090,CUS104963,2025-09-11,34901,3997,129,58182.37,116807.19,Mobile,Prospecting,11.45,3.23,2.01
REC1033411,CMP1099,CUS102709,2025-08-19,19642,317,64,1380.51,76919.69,Mobile,Retargeting,1.61,20.19,55.72
REC1000926,CMP1030,CUS105272,2024-06-16,33984,3147,540,43211.98,183287.08,Desktop,Lookalike,9.26,17.16,4.24
REC1033921,CMP1061,CUS102430,2025-05-18,93967,6966,706,28137.91,719719.08,Desktop,Lookalike,7.41,10.13,25.58
REC1018720,CMP1115,CUS105148,2024-01-30,27589,688,21,7969.1,23408.49,Mobile,Lookalike,2.49,3.05,2.94
REC1000263,CMP1049,CUS101196,2024-01-04,68112,2094,399,3149.92,362324.14,Desktop,Prospecting,3.07,19.05,115.03
REC1025375,CMP1111,CUS107652,2024-04-21,86732,3677,294,8260.43,85436.82,Mobile,Prospecting,4.24,8,10.34
REC1010378,CMP1094,CUS106587,2024-09-26,10613,269,21,618.24,18386.98,Mobile,Lookalike,2.53,7.81,29.74
REC1034702,CMP1091,CUS100280,2025-07-28,15998,515,93,2764.46,86440.39,Mobile,Retargeting,3.22,18.06,31.27
REC1000725,CMP1064,CUS106432,2024-10-10,27451,350,45,984.08,4860.94,Mobile,Prospecting,1.27,12.86,4.94
REC1018308,CMP1000,CUS104596,2025-06-11,9246,858,140,18656.275,127362.43,Mobile,Prospecting,9.28,16.32,11.8
REC1000471,CMP1032,CUS104010,2024-03-26,2281,246,30,2832.1,5138.53,Mobile,Prospecting,10.78,12.2,1.81
REC1024164,CMP1019,CUS105922,2025-06-24,97778,692,36,18656.275,49670.21,Desktop,Prospecting,0.71,5.2,12.57
REC1007403,CMP1040,CUS104292,2024-05-11,76528,8796,1748,77707.71,1582532.09,Desktop,Prospecting,11.49,19.87,20.37
REC1004913,CMP1024,CUS103339,2024-05-12,27207,2159,325,17359.18,75674.51,Desktop,Prospecting,7.94,15.05,4.36
REC1018866,CMP1095,CUS102656,2024-06-24,44152,942,100,14890.47,104400.22,Mobile,Prospecting,2.13,10.62,7.01
REC1026448,CMP1062,CUS104259,2024-12-11,6402,760,135,3215.61,140329.41,Mobile,Prospecting,11.87,17.76,43.64
REC1004705,CMP1036,CUS104847,2024-06-17,60518,2123,396,14684.44,477076.66,Mobile,Prospecting,3.51,18.65,32.49
REC1031323,CMP1032,CUS104309,2025-10-03,74369,1374,238,9882.86,280506.03,Mobile,Prospecting,1.85,17.32,28.38
REC1018499,CMP1004,CUS105451,2024-04-10,34377,159,23,2838.15,20271.3,Mobile,Lookalike,0.46,14.47,7.14
REC1013981,CMP1114,CUS104794,2024-06-06,12295,613,117,9209.91,137481.54,Mobile,Retargeting,4.99,19.09,14.93
REC1019240,CMP1097,CUS103239,2025-09-02,8950,1019,203,15754.71,178602.69,Mobile,Lookalike,11.39,19.92,11.34
REC1029397,CMP1082,CUS107629,2025-04-14,43987,2683,444,8853.81,382476.83,Mobile,Retargeting,6.1,16.55,43.2
REC1008612,CMP1087,CUS105738,2024-03-31,55928,960,73,2986.9,6924.96,Mobile,Prospecting,1.72,7.6,2.32
REC1005548,CMP1091,CUS105153,2024-03-16,20974,2006,53,18001.32,20874.71,Mobile,Lookalike,9.56,2.64,1.16
REC1033588,CMP1024,CUS105477,2025-01-17,32614,2704,199,10220.32,168943.57,Mobile,Retargeting,8.29,7.36,16.53
REC1011808,CMP1106,CUS104200,2024-08-13,50189,700,120,10347.38,164589.93,Desktop,Prospecting,1.39,17.14,15.91
REC1021970,CMP1091,CUS107677,2024-04-11,26386,1854,226,19365.85,89174.24,Desktop,Prospecting,7.03,12.19,4.6
REC1024569,CMP1040,CUS106248,2025-11-15,46424,3604,649,15945.54,831418.31,Desktop,Prospecting,7.76,18.01,52.14
REC1014658,CMP1065,CUS101392,2025-03-18,78551,6887,609,18410.99,307558.21,Mobile,Retargeting,8.77,8.84,16.71
REC1025779,CMP1104,CUS100589,2025-09-15,29663,1370,49,12509.91,29537.49,Desktop,Lookalike,4.62,3.58,2.36
REC1018663,CMP1083,CUS100015,2025-11-30,64377,7720,708,38455.85,799587.47,Desktop,Prospecting,11.99,9.17,20.79
REC1006108,CMP1049,CUS102638,2025-02-21,79140,2450,299,8824.75,337424.74,Desktop,Prospecting,3.1,12.2,38.24
REC1032691,CMP1094,CUS101490,2025-02-20,62982,5364,734,61914.42,715544.46,Mobile,Retargeting,8.52,13.68,11.56
REC1033816,CMP1051,CUS100237,2025-07-03,26692,3007,453,37246.57,677947.85,Desktop,Prospecting,11.27,15.06,18.2
REC1031152,CMP1067,CUS106698,2024-08-03,29471,1486,156,13453.09,180660.24,Mobile,Prospecting,5.04,10.5,13.43
REC1000312,CMP1078,CUS103571,2025-10-21,79473,4541,472,77769.06,220585.11,Mobile,Prospecting,5.71,10.39,2.84
REC1029718,CMP1030,CUS101978,2024-11-07,53479,3368,147,45347.47,213159.05,Mobile,Prospecting,6.3,4.36,4.7
REC1025564,CMP1023,CUS105732,2025-06-06,74971,431,52,5416.52,31069.22,Desktop,Retargeting,0.57,12.06,5.74
REC1030937,CMP1103,CUS104686,2024-01-04,10696,117,17,1589.14,1971.19,Mobile,Prospecting,1.09,14.53,1.24
REC1000428,CMP1066,CUS101807,2025-11-17,61206,763,124,3837.02,91784.93,Desktop,Prospecting,1.25,16.25,23.92
REC1025422,CMP1061,CUS107281,2024-05-29,53710,4646,114,52648.92,110243.94,Mobile,Prospecting,8.65,2.45,2.09
REC1001553,CMP1086,CUS105421,2024-10-09,30107,2870,146,18103.73,183533.49,Desktop,Prospecting,9.53,5.09,10.14
REC1028284,CMP1099,CUS106016,2025-06-30,84936,6255,969,59134.18,1118136.2,Mobile,Prospecting,7.36,15.49,18.91
REC1034970,CMP1008,CUS100722,2024-09-30,32135,204,27,587.68,17473.31,Desktop,Prospecting,0.63,13.24,29.73
REC1026467,CMP1102,CUS102294,2024-01-03,90473,5271,823,81584.84,949108.79,Mobile,Retargeting,5.83,15.61,11.63
REC1017966,CMP1022,CUS100456,2025-08-02,78833,8325,1299,28662.61,1729794.64,Mobile,Prospecting,10.56,15.6,60.35
REC1024793,CMP1006,CUS102067,2025-05-03,78392,2368,64,14378.84,89036.8,Desktop,Retargeting,3.02,2.7,6.19
REC1019537,CMP1014,CUS104894,2025-04-12,17233,1226,191,7227.36,55947.56,Mobile,Prospecting,7.11,15.58,7.74
REC1014647,CMP1109,CUS102017,2025-03-10,48184,3373,463,25156.11,563289.24,Mobile,Lookalike,7,13.73,22.39
REC1024741,CMP1014,CUS107390,2024-06-02,54224,5991,257,77474.6,222422.78,Desktop,Prospecting,11.05,4.29,2.87
REC1001616,CMP1056,CUS101954,2025-11-13,31109,1427,39,6549.81,47120.03,Mobile,Retargeting,4.59,2.73,7.19
REC1018583,CMP1102,CUS105713,2025-05-21,68535,5788,968,18656.275,1181306.72,Tablet,Prospecting,8.45,16.72,133.55
REC1007652,CMP1085,CUS103687,2024-09-26,21724,2340,210,30387.08,39489.74,Mobile,Lookalike,10.77,8.97,1.3
REC1019999,CMP1090,CUS105719,2025-09-01,87577,3690,91,63672.66,96317.77,Mobile,Retargeting,4.21,2.47,1.51
REC1024673,CMP1063,CUS107943,2024-09-04,58352,5993,949,84755.37,896579.75,Mobile,Prospecting,10.27,15.84,10.58
REC1009739,CMP1110,CUS100315,2024-01-16,98641,10019,1591,154396.45,605815.19,Mobile,Lookalike,10.16,15.88,3.92
REC1006002,CMP1061,CUS104182,2025-04-29,40958,1901,221,29942.66,246051.85,Mobile,Lookalike,4.64,11.63,8.22
REC1012660,CMP1115,CUS103923,2024-11-16,11391,1043,158,7122.41,226627.15,Desktop,Prospecting,9.16,15.15,31.82
REC1023820,CMP1091,CUS102026,2025-01-02,60759,7395,784,45269.05,867916.75,Mobile,Lookalike,12.17,10.6,19.17
REC1029292,CMP1080,CUS101011,2025-01-26,55955,3680,380,56617.98,292246.59,Mobile,Prospecting,6.58,10.33,5.16
REC1032000,CMP1026,CUS107877,2025-11-15,83876,5693,548,91786.22,539888.29,Desktop,Retargeting,6.79,9.63,5.88
REC1025565,CMP1022,CUS104371,2024-08-20,4177,391,38,2658.19,7153.19,Mobile,Prospecting,9.36,9.72,2.69
REC1009407,CMP1049,CUS103617,2025-07-23,63798,1096,68,10648.13,54903.96,Mobile,Prospecting,1.72,6.2,5.16
REC1021221,CMP1075,CUS102580,2025-10-14,18340,1219,35,3279.62,37695.88,Mobile,Lookalike,6.65,2.87,11.49
REC1028465,CMP1032,CUS103211,2024-07-08,63430,7269,182,78488.77,203646.86,Mobile,Prospecting,11.46,2.5,2.59
REC1033389,CMP1114,CUS102836,2025-11-27,28070,1785,210,28178.5,142231.81,Mobile,Prospecting,6.36,11.76,5.05
REC1025246,CMP1047,CUS103770,2024-03-20,1699,184,16,3002.52,18444.5,Tablet,Prospecting,10.83,8.7,6.14
REC1013047,CMP1114,CUS103805,2025-08-13,6265,496,44,801.73,22152.25,Mobile,Prospecting,7.92,8.87,27.63
REC1010953,CMP1116,CUS101908,2025-05-19,54844,2340,259,38187.39,135799.67,Tablet,Prospecting,4.27,11.07,3.56
REC1023458,CMP1111,CUS102692,2025-05-16,14372,551,106,2779.47,51710.28,Mobile,Lookalike,3.83,19.24,18.6
REC1001796,CMP1108,CUS103262,2024-03-24,60295,743,124,11347.21,124106.87,Mobile,Retargeting,1.23,16.69,10.94
REC1023342,CMP1017,CUS101854,2024-09-11,31414,2355,350,13372.03,457765.01,Mobile,Prospecting,7.5,14.86,34.23
REC1030522,CMP1118,CUS104267,2024-09-15,22413,2514,126,17906.29,125826.12,Mobile,Retargeting,11.22,5.01,7.03
REC1031106,CMP1017,CUS101544,2025-11-28,63934,2057,238,15857.54,344036.07,Mobile,Lookalike,3.22,11.57,21.7
REC1016483,CMP1098,CUS101302,2024-01-04,51970,4749,556,25089.54,800088.83,Desktop,Retargeting,9.14,11.71,31.89
REC1009129,CMP1019,CUS101181,2025-02-03,93840,6136,346,43039.59,437481.55,Mobile,Lookalike,6.54,5.64,10.16
REC1024539,CMP1073,CUS100377,2025-08-18,51299,4488,664,65011.92,212383.21,Mobile,Retargeting,8.75,14.8,3.27
REC1024534,CMP1021,CUS106869,2024-12-15,74866,3496,45,8259.52,15769.89,Desktop,Prospecting,4.67,1.29,1.91
REC1002761,CMP1006,CUS105310,2024-12-17,43832,3718,356,33273.57,241108.55,Mobile,Prospecting,8.48,9.58,7.25
REC1002525,CMP1062,CUS104755,2024-06-01,17566,889,47,6351.68,27681.03,Tablet,Lookalike,5.06,5.29,4.36
REC1007827,CMP1076,CUS107837,2025-03-23,87779,5177,592,35360.09,140239.98,Mobile,Prospecting,5.9,11.44,3.97
REC1005078,CMP1063,CUS101237,2024-03-12,50824,4228,297,39020.76,326163.42,Mobile,Retargeting,8.32,7.02,8.36
REC1008354,CMP1061,CUS101690,2025-05-06,15440,1122,47,6678.46,45774.89,Mobile,Lookalike,7.27,4.19,6.85
REC1016917,CMP1008,CUS102001,2024-09-11,47436,2828,342,38282.17,333806.73,Mobile,Prospecting,5.96,12.09,8.72
REC1021544,CMP1039,CUS102530,2025-01-31,37187,1871,389,17372.73,363808.18,Mobile,Lookalike,5.03,20.79,20.94
REC1021280,CMP1000,CUS107034,2024-08-13,7617,398,78,6012.21,8486.82,Mobile,Retargeting,5.23,19.6,1.41
REC1025148,CMP1014,CUS103238,2024-07-20,33006,2843,217,14810.31,321145.29,Mobile,Prospecting,8.61,7.63,21.68
REC1008505,CMP1044,CUS107218,2025-11-06,46105,3441,45,43038.06,35765.5,Mobile,Prospecting,7.46,1.31,0.83
REC1023746,CMP1056,CUS105926,2025-07-18,96634,2901,531,16454.19,167076.41,Desktop,Prospecting,3,18.3,10.15
REC1034154,CMP1016,CUS100553,2024-03-06,65621,426,85,2891.11,92263.6,Mobile,Retargeting,0.65,19.95,31.91
REC1009704,CMP1080,CUS100347,2025-01-07,28945,1120,43,5799.28,60576.29,Desktop,Prospecting,3.87,3.84,10.45
REC1006867,CMP1023,CUS106973,2024-05-27,7902,445,83,4114.94,80315.65,Mobile,Prospecting,5.63,18.65,19.52
REC1001761,CMP1021,CUS102619,2025-08-06,4187,56,4,817.88,2530.65,Mobile,Lookalike,1.34,7.14,3.09
REC1002969,CMP1013,CUS102384,2025-11-23,97265,8704,1520,37741.75,1237320.06,Mobile,Lookalike,8.95,17.46,32.78
REC1004214,CMP1083,CUS103005,2024-03-02,17571,1763,226,28072.76,44803.83,Mobile,Lookalike,10.03,12.82,1.6
REC1024387,CMP1099,CUS106026,2024-02-15,72953,7085,841,35465.04,184105.17,Mobile,Prospecting,9.71,11.87,5.19
REC1019060,CMP1097,CUS107657,2025-05-31,4659,469,46,8349.81,19791.88,Desktop,Prospecting,10.07,9.81,2.37
REC1031764,CMP1055,CUS105523,2025-08-01,30616,2320,134,4164.77,128023.72,Mobile,Lookalike,7.58,5.78,30.74
REC1012286,CMP1050,CUS103836,2024-02-18,1244,111,6,1379.58,125486.94,Desktop,Prospecting,8.92,5.41,3.9
REC1003102,CMP1009,CUS101754,2024-11-13,70491,3487,335,42218.4,162158.39,Mobile,Prospecting,4.95,9.61,3.84
REC1001278,CMP1035,CUS102047,2025-05-03,26137,2705,383,46552.92,320187.27,Mobile,Retargeting,10.35,14.16,6.88
REC1026562,CMP1056,CUS103588,2024-08-23,70596,2352,392,17779.33,96113.52,Mobile,Prospecting,3.33,16.67,5.41
REC1024745,CMP1110,CUS102247,2024-04-20,41319,3754,119,54991.01,12252.14,Mobile,Prospecting,9.09,3.17,0.22
REC1034138,CMP1007,CUS104167,2024-07-07,69256,5725,390,51695.89,478904.8,Mobile,Retargeting,8.27,6.81,9.26
REC1019876,CMP1117,CUS103805,2024-02-14,59085,455,38,1541.97,4071.76,Mobile,Prospecting,0.77,8.35,2.64
REC1025540,CMP1057,CUS105569,2024-06-09,38733,810,96,7334.38,66692.4,Desktop,Lookalike,2.09,11.85,9.09
REC1017448,CMP1100,CUS100702,2025-11-06,62916,6081,658,35686.24,696990.39,Mobile,Lookalike,9.67,10.82,19.53
REC1017364,CMP1082,CUS100630,2024-04-29,26021,939,17,11951.03,9519.06,Mobile,Prospecting,3.61,1.81,0.8
REC1004667,CMP1045,CUS101988,2025-10-18,34235,3628,38,62254.46,3535.36,Mobile,Lookalike,10.6,1.05,0.06
REC1034989,CMP1085,CUS103691,2024-06-04,27269,2715,508,44646.84,528919.11,Mobile,Retargeting,9.96,18.71,11.85
REC1023085,CMP1025,CUS107042,2025-08-25,62600,3399,275,50449.41,100908.52,Mobile,Prospecting,5.43,8.09,2
REC1023626,CMP1106,CUS106874,2024-08-01,88225,8841,1243,39111.25,270335.11,Desktop,Retargeting,10.02,14.06,6.91
REC1020115,CMP1074,CUS104195,2024-05-24,55316,5125,158,9493.31,142071.26,Tablet,Prospecting,9.26,3.08,14.97
REC1026436,CMP1037,CUS106321,2025-02-10,22282,955,76,13103.39,77279.75,Desktop,Prospecting,4.29,7.96,5.9
REC1006526,CMP1070,CUS105999,2025-05-07,53941,421,48,3175.78,35619.24,Desktop,Prospecting,0.78,11.4,11.22
REC1016551,CMP1033,CUS101017,2025-09-18,12754,420,71,3995.22,45391.83,Mobile,Lookalike,3.29,16.9,11.36
REC1000273,CMP1116,CUS104315,2025-06-26,79185,8234,235,74453.24,164470.47,Mobile,Prospecting,10.4,2.85,2.21
REC1007537,CMP1104,CUS102536,2025-07-15,43423,1427,195,6502.39,35330.56,Tablet,Prospecting,3.29,13.67,5.43
REC1021093,CMP1101,CUS107432,2025-07-10,13696,1165,184,10258.03,249929.79,Mobile,Lookalike,8.51,15.79,24.36
REC1010016,CMP1025,CUS103309,2025-11-23,45812,2624,261,32536.23,50460.07,Tablet,Prospecting,5.73,9.95,1.55
REC1017595,CMP1009,CUS106312,2025-02-03,56465,6632,248,76936.28,371644.03,Desktop,Prospecting,11.75,3.74,4.83
REC1020253,CMP1098,CUS100129,2025-08-30,67889,5882,383,19824.8,531570.23,Desktop,Retargeting,8.66,6.51,26.81
REC1032247,CMP1029,CUS102178,2025-01-16,56817,6006,233,46749.05,165139,Mobile,Prospecting,10.57,3.88,3.53
REC1016744,CMP1034,CUS104225,2024-10-15,99156,8967,155,120899.58,70888.1,Mobile,Retargeting,9.04,1.73,0.59
REC1026757,CMP1112,CUS103004,2025-09-27,11979,861,98,1589.45,35290.36,Tablet,Lookalike,7.19,11.38,22.2
REC1009826,CMP1084,CUS102921,2024-09-22,70374,4598,567,15476.9,73908.43,Mobile,Prospecting,6.53,12.33,4.78
REC1033589,CMP1105,CUS100736,2024-11-11,45493,1902,156,13006.7,192686.46,Mobile,Prospecting,4.18,8.2,14.81
REC1006350,CMP1003,CUS106043,2025-06-27,307,17,1,89.9,145.13,Desktop,Retargeting,5.54,5.88,1.61
REC1002055,CMP1115,CUS104308,2024-07-30,12688,304,43,2946.49,43336.5,Desktop,Lookalike,2.4,14.14,14.71
REC1034781,CMP1020,CUS105484,2024-08-14,34929,2960,83,29202.77,125486.94,Desktop,Prospecting,8.47,2.8,1.31
REC1030780,CMP1117,CUS102376,2024-06-15,22698,1798,211,8012.8,214609.72,Mobile,Retargeting,7.92,11.74,26.78
REC1021290,CMP1063,CUS103718,2024-12-09,24360,1323,37,13102.39,30201.47,Mobile,Lookalike,5.43,2.8,2.31
REC1024250,CMP1042,CUS107205,2025-01-28,99986,1271,144,18626.97,80716.65,Mobile,Prospecting,1.27,11.33,4.33
REC1004877,CMP1059,CUS104787,2024-08-05,83048,5630,783,30323.45,884151.41,Desktop,Lookalike,6.78,13.91,29.16
REC1005129,CMP1118,CUS104239,2024-01-03,35656,2713,288,18730.04,164471.33,Desktop,Prospecting,7.61,10.62,8.78
REC1028305,CMP1078,CUS106554,2024-09-01,41510,1743,292,15897.8,378035.3,Desktop,Retargeting,4.2,16.75,23.78
REC1027268,CMP1118,CUS106138,2025-06-29,61043,1679,76,22613.67,18130.64,Desktop,Retargeting,2.75,4.53,0.8
REC1012042,CMP1016,CUS106087,2024-04-23,6212,523,38,6337.82,36406.65,Mobile,Prospecting,8.42,7.27,5.74
REC1024218,CMP1072,CUS100468,2025-08-13,61047,6528,1089,29744.27,382183.06,Mobile,Retargeting,10.69,16.68,12.85
REC1005921,CMP1062,CUS100282,2024-05-14,21302,1637,268,4986.46,86232.6,Mobile,Prospecting,7.68,16.37,17.29
REC1023516,CMP1035,CUS101166,2024-04-18,7180,96,2,1261.68,2612.46,Mobile,Lookalike,1.34,2.08,2.07
REC1014712,CMP1113,CUS107091,2025-04-04,24640,2025,147,10137.77,170342.61,Desktop,Prospecting,8.22,7.26,16.8
REC1017911,CMP1107,CUS104539,2025-11-17,45845,2270,371,4287.95,275390.47,Mobile,Retargeting,4.95,16.34,64.22
REC1009653,CMP1069,CUS102711,2025-08-27,83577,3940,480,65082.88,491240.99,Mobile,Prospecting,4.71,12.18,7.55
REC1020793,CMP1066,CUS102311,2025-02-14,17063,1904,174,7268,90164.41,Mobile,Retargeting,11.16,9.14,12.41
REC1012052,CMP1105,CUS100401,2025-08-04,75780,5561,457,21710.37,400554.96,Mobile,Retargeting,7.34,8.22,18.45
REC1003916,CMP1031,CUS103977,2025-04-19,4222,115,23,1338.52,29933.08,Desktop,Prospecting,2.72,20,22.36
REC1004579,CMP1112,CUS101237,2025-10-08,94284,5606,567,34435.59,724492.8,Mobile,Lookalike,5.95,10.11,21.04
REC1027595,CMP1028,CUS103648,2024-05-14,10782,904,103,4230.14,26111.36,Desktop,Retargeting,8.38,11.39,6.17
REC1021994,CMP1038,CUS105639,2025-02-19,63533,2489,190,5111.69,232360.94,Mobile,Prospecting,3.92,7.63,45.46
REC1009149,CMP1018,CUS100340,2024-03-04,49448,5969,411,78869.68,159529.62,Mobile,Prospecting,12.07,6.89,2.02
REC1002296,CMP1108,CUS106229,2024-11-28,75611,3878,197,23973.84,192895.6,Desktop,Prospecting,5.13,5.08,8.05
REC1003593,CMP1102,CUS101358,2025-05-15,97134,6069,1103,31604.19,99746.99,Tablet,Retargeting,6.25,18.17,3.16
REC1031144,CMP1099,CUS104640,2024-10-08,45346,4072,210,9114.8,189354.69,Desktop,Prospecting,8.98,5.16,20.77
REC1003698,CMP1114,CUS102154,2025-05-30,91381,8650,1126,35532.28,1438284.21,Mobile,Prospecting,9.47,13.02,40.48
REC1010484,CMP1098,CUS105184,2024-06-06,51176,1050,109,12711.31,86963.05,Mobile,Lookalike,2.05,10.38,6.84
REC1030556,CMP1063,CUS102735,2024-11-21,61322,4507,376,53132.95,263120.3,Mobile,Prospecting,7.35,8.34,4.95
REC1032019,CMP1094,CUS104214,2025-03-11,40406,4081,459,29289.47,69826.21,Mobile,Lookalike,10.1,11.25,2.38
REC1020069,CMP1108,CUS100330,2024-07-12,13906,1280,208,12114.94,173887.17,Mobile,Lookalike,9.2,16.25,14.35
REC1025409,CMP1007,CUS101184,2024-03-09,88131,7390,812,76809.78,147252.06,Mobile,Lookalike,8.39,10.99,1.92
REC1031076,CMP1009,CUS103300,2025-06-11,9305,229,20,1132.74,2711.81,Mobile,Prospecting,2.46,8.73,2.39
REC1017928,CMP1071,CUS106987,2025-03-23,93926,7651,1069,86334.8,483406.81,Desktop,Prospecting,8.15,13.97,5.6
REC1023950,CMP1035,CUS101887,2025-06-10,40496,930,33,1706.43,25768.96,Mobile,Prospecting,2.3,3.55,15.1
REC1004346,CMP1030,CUS106167,2024-06-21,2237,14,0,118,0,Mobile,Retargeting,0.63,0,0
REC1002874,CMP1090,CUS103181,2024-03-11,61412,5112,502,56805.82,57518.95,Desktop,Prospecting,8.32,9.82,1.01
REC1006427,CMP1075,CUS102685,2024-01-13,59353,5150,646,75142.23,520157.82,Mobile,Lookalike,8.68,12.54,6.92
REC1034769,CMP1051,CUS101980,2024-08-01,90498,3396,220,18444.71,41014.4,Mobile,Prospecting,3.75,6.48,2.22
REC1022448,CMP1016,CUS104176,2024-11-21,37109,4185,538,15866.64,659579.66,Mobile,Lookalike,11.28,12.86,41.57
REC1010243,CMP1030,CUS103126,2024-05-10,91273,2372,325,139568.5,462574.9,Desktop,Prospecting,9.28,3.84,3.31
REC1024341,CMP1058,CUS104672,2025-05-03,80362,9594,1117,19346.46,469309.41,Desktop,Retargeting,11.94,11.64,24.26
REC1020198,CMP1075,CUS105978,2025-03-29,98111,3329,681,25390.52,261799.64,Mobile,Lookalike,3.39,20.46,10.31
REC1001864,CMP1060,CUS106266,2024-08-16,33411,1999,234,11764.9,216898.16,Desktop,Prospecting,5.98,11.71,18.44
